team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS
SS,73801,송은범,4.50,5,0,0,0,0,0,0,-,28,93,6,9,2,0,0,1,0,3,0,2,3,0,3,3,0,2.00,0.375,0
SS,50430,홍원표,4.50,2,0,0,0,1,0,0,0.000,12,40,2,3,0,0,0,1,1,2,1,1,0,0,1,1,0,2.50,0.429,0
SS,78352,임창민,4.85,16,0,0,1,0,0,2,1.000,63,263,13,17,2,0,5,1,1,7,1,6,0,0,8,7,1,1.85,0.321,0
SS,65320,최원태,4.92,27,0,0,8,7,0,0,0.533,552,2137,124 1/3,128,21,0,13,10,7,51,1,109,9,0,72,68,0,1.44,0.271,8
SS,65062,김재윤,4.99,63,0,0,4,7,13,3,0.364,242,938,57 2/3,57,12,2,10,2,1,13,3,43,1,0,34,32,3,1.21,0.253,0
SS,54401,김대호,5.14,11,0,0,0,1,0,0,0.000,105,392,21,25,6,0,3,1,2,15,0,19,1,0,13,12,0,1.90,0.291,0
SS,54404,육선엽,5.34,27,0,0,0,1,0,1,0.000,133,564,28 2/3,23,3,0,4,3,0,24,0,19,2,0,21,17,0,1.64,0.217,0
SS,51454,이승현,5.42,25,0,0,4,9,0,0,0.308,471,1840,101 1/3,121,23,2,10,7,3,46,0,74,2,0,64,61,0,1.65,0.298,2
SS,60146,이승현,6.31,42,0,0,2,1,0,11,0.667,161,648,35 2/3,43,7,0,9,6,1,11,1,29,1,0,26,25,1,1.51,0.303,0
SS,53455,이호성,6.34,58,0,0,7,4,9,3,0.636,252,1032,55 1/3,54,7,2,7,3,4,29,0,69,0,1,44,39,4,1.50,0.252,0
SS,50441,황동재,6.97,15,0,0,0,1,0,0,0.000,104,403,20 2/3,27,2,0,1,0,1,14,0,22,3,0,16,16,0,1.98,0.310,0
SS,75421,오승환,8.00,12,0,0,0,0,0,0,-,45,173,9,15,5,0,1,0,1,3,0,7,1,0,8,8,0,2.00,0.366,0
SS,62146,최성훈,9.00,2,0,0,0,0,0,0,-,5,20,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2.00,0.250,0
SS,54467,정민성,36.00,1,0,0,0,1,0,0,0.000,7,23,1,3,2,1,0,0,0,0,0,0,1,0,4,4,0,3.00,0.600,0
SS,66451,최충연,37.80,4,0,0,0,0,0,0,-,15,60,1 2/3,7,1,0,1,0,0,2,0,1,0,0,8,7,0,5.40,0.583,0
SK,50848,김성민,0.00,2,0,0,1,0,0,0,1.000,4,22,2/3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3.00,0.000,0
SK,55860,신지환,0.00,1,0,0,0,0,0,0,-,4,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.000,0
SK,51897,조병현,1.60,69,0,0,5,4,30,0,0.556,255,1088,67 1/3,42,7,0,5,1,1,18,2,79,1,0,13,12,2,0.89,0.179,0
SK,53892,이로운,1.99,75,0,0,6,5,1,33,0.545,305,1261,77,56,4,1,7,4,3,26,5,66,2,0,19,17,1,1.06,0.206,0
SK,73211,노경은,2.14,77,0,0,3,6,3,35,0.333,320,1177,80,60,10,0,2,9,4,25,5,68,3,0,22,19,6,1.06,0.215,0
SK,54833,앤더슨,2.25,30,0,0,12,7,0,0,0.632,694,2792,171 2/3,121,17,1,13,3,3,51,1,245,10,0,53,43,0,1.00,0.193,17
SK,65343,김택형,2.78,25,0,0,0,0,0,1,-,95,371,22 2/3,19,6,0,0,1,0,10,0,14,2,0,7,7,0,1.28,0.235,0
SK,55855,화이트,2.87,24,1,0,11,4,0,0,0.733,562,2165,134 2/3,111,17,2,9,4,3,44,1,137,6,0,51,43,0,1.15,0.221,12
SK,68043,김민,2.97,70,0,0,5,2,1,22,0.714,266,944,63 2/3,60,7,0,7,4,0,17,2,65,4,0,23,21,4,1.21,0.251,0
SK,54802,박기호,3.00,18,0,0,0,0,0,2,-,110,451,24,23,2,0,3,3,1,12,1,13,2,0,10,8,0,1.46,0.267,0
SK,50812,박시후,3.27,52,0,0,6,2,0,3,0.750,231,930,52 1/3,45,3,0,5,3,1,29,1,34,0,1,24,19,0,1.41,0.233,0
SK,51867,김건우,3.82,35,0,0,5,4,0,2,0.556,301,1241,66,53,14,0,2,2,2,49,1,68,4,0,31,28,0,1.55,0.220,0
SK,68856,최민준,3.97,40,0,0,2,2,0,1,0.500,287,1172,65 2/3,72,7,0,6,7,4,24,0,44,3,0,34,29,0,1.46,0.289,0
