team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
SS,69428,이병헌,0.087,21,25,23,1,2,0,0,0,2,0,0,0,0,0,1,0,1,5,0,0.087,0.16,1,0.0,0,0.247,0.0,0.0,0.0,0.5,0.564,0.552,0.5,4
SS,52424,김재혁,0.0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.333,0,0.0,0,0.333,0.0,0.0,0.0,0.5,0.51,0.547,0.5,4
SS,54460,김호진,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
SS,55455,배찬승,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
SS,69403,양우현,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.503,0.524,0.5,4
SS,54404,육선엽,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
SS,51460,이재희,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
SS,53455,이호성,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
SS,55440,함수호,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.502,0.53,0.5,4
SS,67005,홍현빈,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.502,0.514,0.5,4
SK,52803,김태윤,1.0,5,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.0,1.0,0,0.0,0,2.0,0.0,1.0,1.0,0.5,0.543,0.609,0.515,4
SK,54815,정현승,0.5,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0,0.0,0,1.5,0.0,0.0,0.0,0.5,0.516,0.546,0.5,4
SK,66864,안상현,0.309,43,107,97,16,30,4,1,1,39,7,7,4,1,1,8,0,0,38,1,0.402,0.358,2,63.6,9,0.76,0.304,0.0,11.0,0.519,0.678,0.646,0.662,2
SK,51868,고명준,0.287,75,289,268,23,77,17,1,7,117,34,1,0,0,5,14,0,2,51,5,0.437,0.322,2,100.0,27,0.759,0.218,0.0,1.0,0.63,0.839,0.755,0.515,2
SK,53827,에레디아,0.286,35,156,140,16,40,3,0,4,55,15,0,0,0,1,14,3,1,19,3,0.393,0.353,1,0.0,9,0.746,0.294,0.0,0.0,0.574,0.657,0.672,0.5,3
SK,50854,최지훈,0.278,78,345,313,40,87,11,3,3,113,24,21,5,1,4,24,1,3,56,0,0.361,0.331,3,80.8,24,0.692,0.246,0.25,26.0,0.556,0.859,0.795,0.882,1
