day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.05.05,14:00,SSG,7,승,롯데,1,패,사직,-
2025.05.05,14:00,NC,6,승,KT,2,패,수원,-
2025.05.05,14:00,KIA,13,승,키움,1,패,고척,-
2025.05.05,14:00,삼성,1,패,한화,3,승,대전(신),-
2025.05.06,14:00,LG,5,승,두산,1,패,잠실,-
2025.05.06,14:00,SSG,0,패,롯데,6,승,사직,-
2025.05.06,14:00,NC,6,승,KT,3,패,수원,-
2025.05.06,14:00,KIA,5,승,키움,3,패,고척,-
2025.05.06,14:00,삼성,1,패,한화,3,승,대전(신),-
2025.05.07,18:30,LG,2,패,두산,5,승,잠실,-
2025.05.07,18:30,SSG,2,패,롯데,6,승,사직,-
2025.05.07,18:30,NC,12,승,KT,2,패,수원,-
2025.05.07,18:30,KIA,10,패,키움,11,승,고척,-
2025.05.07,18:30,삼성,6,패,한화,10,승,대전(신),-
2025.05.09,18:30,NC,,,두산,,,잠실,-
2025.05.09,18:30,KIA,,,SSG,,,문학,우천취소
2025.05.09,18:30,LG,,,삼성,,,대구,우천취소
2025.05.09,18:30,롯데,,,KT,,,수원,우천취소
2025.05.09,18:30,한화,7,승,키움,5,패,고척,-
2025.05.10,14:00,한화,9,승,키움,1,패,고척,-
2025.05.10,14:00,NC,,,두산,,,잠실,우천취소
2025.05.10,14:00,KIA,,,SSG,,,문학,우천취소
2025.05.10,14:00,LG,5,승,삼성,4,패,대구,-
2025.05.10,14:00,롯데,,,KT,,,수원,우천취소
2025.05.10,17:00,NC,6,무,두산,6,무,잠실,-
2025.05.10,17:00,KIA,5,승,SSG,4,패,문학,-
2025.05.10,17:00,롯데,8,승,KT,5,패,수원,-
2025.05.10,17:00,LG,4,승,삼성,1,패,대구,-
2025.05.11,14:00,LG,7,승,삼성,4,패,대구,-
2025.05.11,14:00,한화,8,승,키움,0,패,고척,-
2025.05.11,14:00,NC,11,승,두산,5,패,잠실,-
2025.05.11,14:00,KIA,4,패,SSG,8,승,문학,-
2025.05.11,14:00,롯데,6,승,KT,1,패,수원,-
2025.05.11,17:00,NC,5,승,두산,2,패,잠실,-
2025.05.11,17:00,KIA,1,패,SSG,5,승,문학,-
2025.05.11,17:00,롯데,1,무,KT,1,무,수원,-
2025.05.13,18:30,키움,6,패,LG,9,승,잠실,-
2025.05.13,18:30,NC,3,패,SSG,6,승,문학,-
2025.05.13,18:30,롯데,1,패,KIA,4,승,광주,-
2025.05.13,18:30,두산,4,승,한화,3,패,대전(신),-
2025.05.13,18:30,KT,3,패,삼성,5,승,포항,-
2025.05.14,18:30,키움,0,패,LG,12,승,잠실,-
2025.05.14,18:30,NC,6,승,SSG,3,패,문학,-
2025.05.14,18:30,롯데,4,승,KIA,0,패,광주,-
2025.05.14,18:30,두산,7,승,한화,1,패,대전(신),-
2025.05.14,18:30,KT,3,승,삼성,2,패,포항,-
2025.05.15,18:30,키움,2,패,LG,6,승,잠실,-
2025.05.15,18:30,NC,0,패,SSG,4,승,문학,-
2025.05.15,18:30,롯데,6,패,KIA,7,승,광주,-
2025.05.15,18:30,두산,8,승,한화,2,패,대전(신),-
2025.05.15,18:30,KT,0,패,삼성,13,승,포항,-
2025.05.16,18:30,KT,,,LG,,,잠실,-
2025.05.16,18:30,삼성,,,롯데,,,사직,우천취소
2025.05.16,18:30,두산,,,KIA,,,광주,우천취소
2025.05.16,18:30,SSG,,,한화,,,대전(신),우천취소
2025.05.16,18:30,키움,,,NC,,,울산,우천취소
2025.05.17,14:00,KT,12,승,LG,4,패,잠실,-
2025.05.17,14:00,삼성,5,패,롯데,7,승,사직,-
2025.05.17,14:00,두산,2,패,KIA,5,승,광주,-
2025.05.17,14:00,SSG,0,패,한화,1,승,대전(신),-
2025.05.17,14:00,키움,2,패,NC,3,승,울산,-
2025.05.17,17:00,KT,7,승,LG,6,패,잠실,-
2025.05.17,17:00,삼성,7,패,롯데,8,승,사직,-
2025.05.17,17:00,두산,1,패,KIA,4,승,광주,-
2025.05.17,17:00,SSG,5,승,한화,2,패,대전(신),-
2025.05.17,17:00,키움,3,승,NC,2,패,울산,-
2025.05.18,14:00,KT,1,패,LG,5,승,잠실,-
2025.05.18,14:00,삼성,3,패,롯데,6,승,사직,-
2025.05.18,14:00,두산,4,패,KIA,5,승,광주,-
2025.05.18,14:00,SSG,7,승,한화,3,패,대전(신),-
2025.05.18,14:00,키움,0,패,NC,5,승,울산,-
2025.05.20,18:30,SSG,5,승,두산,3,패,잠실,-
2025.05.20,18:30,LG,17,승,롯데,9,패,사직,-
2025.05.20,18:30,KIA,3,패,KT,5,승,수원,-
2025.05.20,18:30,삼성,6,승,키움,3,패,고척,-
2025.05.20,18:30,한화,4,승,NC,1,패,울산,-
2025.05.21,18:30,SSG,9,승,두산,1,패,잠실,-
2025.05.21,18:30,LG,7,무,롯데,7,무,사직,-
2025.05.21,18:30,KIA,1,패,KT,3,승,수원,-
2025.05.21,18:30,삼성,6,승,키움,1,패,고척,-
2025.05.21,18:30,한화,2,패,NC,5,승,울산,-
2025.05.22,18:30,SSG,5,패,두산,6,승,잠실,-
2025.05.22,18:30,LG,4,패,롯데,11,승,사직,-
2025.05.22,18:30,KIA,8,승,KT,3,패,수원,-
2025.05.22,18:30,삼성,2,승,키움,0,패,고척,-
2025.05.22,18:30,한화,3,패,NC,4,승,울산,-
2025.05.23,18:30,NC,1,무,두산,1,무,잠실,-
2025.05.23,18:30,LG,3,승,SSG,2,패,문학,-
2025.05.23,18:30,KIA,7,승,삼성,6,패,대구,-
2025.05.23,18:30,KT,7,승,키움,5,패,고척,-
2025.05.23,18:30,롯데,2,패,한화,4,승,대전(신),-
2025.05.24,14:00,KT,10,승,키움,4,패,고척,-
2025.05.24,14:00,롯데,8,승,한화,6,패,대전(신),-
2025.05.24,17:00,NC,5,승,두산,1,패,잠실,-
2025.05.24,17:00,LG,4,패,SSG,5,승,문학,-
2025.05.24,17:00,KIA,4,패,삼성,8,승,대구,-
2025.05.25,14:00,NC,0,무,두산,0,무,잠실,-
2025.05.25,14:00,LG,0,무,SSG,0,무,문학,-
2025.05.25,14:00,KIA,0,무,삼성,0,무,대구,-
2025.05.25,14:00,KT,0,무,키움,0,무,고척,-
2025.05.25,14:00,롯데,0,무,한화,0,무,대전(신),-
2025.05.27,18:30,한화,,,LG,,,잠실,-
2025.05.27,18:30,NC,,,SSG,,,문학,-
2025.05.27,18:30,롯데,,,삼성,,,대구,-
2025.05.27,18:30,두산,,,KT,,,수원,-
2025.05.27,18:30,키움,,,KIA,,,광주,-
2025.05.28,18:30,한화,,,LG,,,잠실,-
2025.05.28,18:30,NC,,,SSG,,,문학,-
2025.05.28,18:30,롯데,,,삼성,,,대구,-
2025.05.28,18:30,두산,,,KT,,,수원,-
2025.05.28,18:30,키움,,,KIA,,,광주,-
2025.05.29,18:30,한화,,,LG,,,잠실,-
2025.05.29,18:30,NC,,,SSG,,,문학,-
2025.05.29,18:30,롯데,,,삼성,,,대구,-
2025.05.29,18:30,두산,,,KT,,,수원,-
2025.05.29,18:30,키움,,,KIA,,,광주,-
2025.05.30,18:30,삼성,,,LG,,,잠실,-
2025.05.30,18:30,SSG,,,롯데,,,사직,-
2025.05.30,18:30,한화,,,NC,,,창원,-
2025.05.30,18:30,KIA,,,KT,,,수원,-
2025.05.30,18:30,두산,,,키움,,,고척,-
2025.05.31,14:00,한화,,,NC,,,창원,-
2025.05.31,14:00,KIA,,,KT,,,수원,-
2025.05.31,17:00,삼성,,,LG,,,잠실,-
2025.05.31,17:00,SSG,,,롯데,,,사직,-
2025.05.31,17:00,두산,,,키움,,,고척,-
2025.06.01,14:00,두산,,,키움,,,고척,-
2025.06.01,17:00,삼성,,,LG,,,잠실,-
2025.06.01,17:00,SSG,,,롯데,,,사직,-
2025.06.01,17:00,한화,,,NC,,,창원,-
2025.06.01,17:00,KIA,,,KT,,,수원,-
2025.06.03,14:00,LG,,,NC,,,창원,-
2025.06.03,14:00,KT,,,한화,,,대전(신),-
2025.06.03,17:00,KIA,,,두산,,,잠실,-
2025.06.03,17:00,삼성,,,SSG,,,문학,-
2025.06.03,17:00,키움,,,롯데,,,사직,-
2025.06.04,18:30,KIA,,,두산,,,잠실,-
2025.06.04,18:30,삼성,,,SSG,,,문학,-
2025.06.04,18:30,키움,,,롯데,,,사직,-
2025.06.04,18:30,LG,,,NC,,,창원,-
2025.06.04,18:30,KT,,,한화,,,대전(신),-
2025.06.05,18:30,KIA,,,두산,,,잠실,-
2025.06.05,18:30,삼성,,,SSG,,,문학,-
2025.06.05,18:30,키움,,,롯데,,,사직,-
2025.06.05,18:30,LG,,,NC,,,창원,-
2025.06.05,18:30,KT,,,한화,,,대전(신),-
2025.06.06,17:00,롯데,,,두산,,,잠실,-
2025.06.06,17:00,NC,,,삼성,,,대구,-
2025.06.06,17:00,SSG,,,KT,,,수원,-
2025.06.06,17:00,한화,,,KIA,,,광주,-
2025.06.06,17:00,LG,,,키움,,,고척,-
2025.06.07,17:00,롯데,,,두산,,,잠실,-
