team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
KT,64115,장준원,0.207,73,154,140,10,29,3,0,1,35,11,0,0,5,1,8,0,0,27,5,0.25,0.248,3,0.0,6,0.498,0.182,0.0,0,0.51,0.692,0.633,0.5,4
KT,64166,배정대,0.204,99,276,240,25,49,11,2,2,70,28,6,3,7,3,19,0,7,65,4,0.292,0.279,1,66.7,11,0.571,0.281,0.143,9,0.52,0.763,0.687,0.571,3
KT,52002,김병준,0.2,9,5,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0,0.0,0,0.4,0.0,0.0,0,0.5,0.519,0.517,0.5,4
KT,50066,강현우,0.188,40,78,64,5,12,1,0,1,16,8,0,0,3,1,10,0,0,14,1,0.25,0.293,4,0.0,2,0.543,0.235,0.364,0,0.51,0.604,0.616,0.5,4
KT,68089,조대현,0.187,64,90,75,7,14,4,0,0,18,11,0,0,6,0,7,0,2,22,0,0.24,0.274,7,0.0,1,0.514,0.348,0.5,0,0.5,0.66,0.627,0.5,4
KT,51013,유준규,0.118,35,41,34,13,4,2,0,0,6,3,2,1,0,0,7,0,0,13,0,0.176,0.268,0,66.7,0,0.444,0.111,0.0,3,0.5,0.576,0.59,0.524,4
KT,51007,최성민,0.105,32,21,19,3,2,0,0,0,2,2,1,0,1,0,1,0,0,5,0,0.105,0.15,1,100.0,0,0.255,0.5,0.0,1,0.5,0.566,0.536,0.508,4
KT,50092,윤준혁,0.059,28,18,17,4,1,1,0,0,2,0,1,0,1,0,0,0,0,5,0,0.118,0.059,0,100.0,0,0.177,0.0,0.0,1,0.5,0.55,0.5,0.508,4
KT,69064,강민성,0.033,25,36,30,0,1,0,0,0,1,1,0,0,0,1,5,0,0,15,1,0.033,0.167,0,0.0,0,0.2,0.0,0.0,0,0.5,0.541,0.535,0.5,4
KT,51005,김건형,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,0.503,0.517,0.5,4
KT,54097,김민석,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
KT,65048,김민수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
KT,55046,박건우,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
KT,52060,박영현,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
