team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS,speed,stamina,control,fireball,style
SS,54443,레예스,4.14,10,0,0,4,3,0,0,0.571,215,844,50.0,51,7,1,5,3,4,12,0,35,0,0,26,23,0,1.26,0.264,2,143.0,0.569,0.559,0.935,3
SS,62360,김태훈,4.48,73,0,0,2,6,2,19,0.25,287,1122,66.333,66,13,0,8,1,3,26,3,74,4,0,34,33,5,1.39,0.259,0,142.0,0.932,0.946,0.928,1
SS,73801,송은범,4.5,5,0,0,0,0,0,0,0.0,28,93,6.0,9,2,0,0,1,0,3,0,2,3,0,3,3,0,2.0,0.375,0,138.0,0.526,0.521,0.902,3
SS,50430,홍원표,4.5,2,0,0,0,1,0,0,0.0,12,40,2.0,3,0,0,0,1,1,2,1,1,0,0,1,1,0,2.5,0.429,0,134.0,0.512,0.515,0.876,3
SS,78352,임창민,4.85,16,0,0,1,0,0,2,1.0,63,263,13.0,17,2,0,5,1,1,7,1,6,0,0,8,7,1,1.85,0.321,0,139.0,0.61,0.552,0.908,3
SS,65320,최원태,4.92,27,0,0,8,7,0,0,0.533,552,2137,124.333,128,21,0,13,10,7,51,1,109,9,0,72,68,0,1.44,0.271,8,145.0,0.691,0.645,0.948,2
SS,65062,김재윤,4.99,63,0,0,4,7,13,3,0.364,242,938,57.667,57,12,2,10,2,1,13,3,43,1,0,34,32,3,1.21,0.253,0,143.0,0.86,0.819,0.935,1
SS,54401,김대호,5.14,11,0,0,0,1,0,0,0.0,105,392,21.0,25,6,0,3,1,2,15,0,19,1,0,13,12,0,1.9,0.291,0,142.0,0.573,0.557,0.928,3
SS,54404,육선엽,5.34,27,0,0,0,1,0,1,0.0,133,564,28.667,23,3,0,4,3,0,24,0,19,2,0,21,17,0,1.64,0.217,0,144.0,0.683,0.604,0.941,2
SS,51454,이승현,5.42,25,0,0,4,9,0,0,0.308,471,1840,101.333,121,23,2,10,7,3,46,0,74,2,0,64,61,0,1.65,0.298,2,139.0,0.68,0.611,0.908,2
SS,60146,이승현,6.31,42,0,0,2,1,0,11,0.667,161,648,35.667,43,7,0,9,6,1,11,1,29,1,0,26,25,1,1.51,0.303,0,141.0,0.764,0.705,0.922,2
SS,53455,이호성,6.34,58,0,0,7,4,9,3,0.636,252,1032,55.333,54,7,2,7,3,4,29,0,69,0,1,44,39,4,1.5,0.252,0,146.0,0.876,0.871,0.954,1
SS,50441,황동재,6.97,15,0,0,0,1,0,0,0.0,104,403,20.667,27,2,0,1,0,1,14,0,22,3,0,16,16,0,1.98,0.31,0,143.0,0.602,0.581,0.935,3
SS,75421,오승환,8.0,12,0,0,0,0,0,0,0.0,45,173,9.0,15,5,0,1,0,1,3,0,7,1,0,8,8,0,2.0,0.366,0,142.0,0.578,0.557,0.928,3
SS,62146,최성훈,9.0,2,0,0,0,0,0,0,0.0,5,20,1.0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2.0,0.25,0,136.0,0.511,0.521,0.889,3
SS,54467,정민성,36.0,1,0,0,0,1,0,0,0.0,7,23,1.0,3,2,1,0,0,0,0,0,0,1,0,4,4,0,3.0,0.6,0,142.0,0.506,0.512,0.928,3
SS,66451,최충연,37.8,4,0,0,0,0,0,0,0.0,15,60,1.667,7,1,0,1,0,0,2,0,1,0,0,8,7,0,5.4,0.583,0,139.0,0.546,0.5,0.908,3
SK,50848,김성민,0.0,2,0,0,1,0,0,0,1.0,4,22,0.667,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3.0,0.0,0,149.0,0.519,0.506,0.974,0
SK,55860,신지환,0.0,1,0,0,0,0,0,0,0.0,4,18,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,140.0,0.504,0.521,0.915,3
SK,51897,조병현,1.6,69,0,0,5,4,30,0,0.556,255,1088,67.333,42,7,0,5,1,1,18,2,79,1,0,13,12,2,0.89,0.179,0,146.0,0.889,1.0,0.954,1
SK,53892,이로운,1.99,75,0,0,6,5,1,33,0.545,305,1261,77.0,56,4,1,7,4,3,26,5,66,2,0,19,17,1,1.06,0.206,0,147.0,0.931,0.922,0.961,1
SK,73211,노경은,2.14,77,0,0,3,6,3,35,0.333,320,1177,80.0,60,10,0,2,9,4,25,5,68,3,0,22,19,6,1.06,0.215,0,145.0,0.905,0.933,0.948,1
SK,54833,앤더슨,2.25,30,0,0,12,7,0,0,0.632,694,2792,171.667,121,17,1,13,3,3,51,1,245,10,0,53,43,0,1.0,0.193,17,152.0,0.712,0.749,0.993,0
SK,65343,김택형,2.78,25,0,0,0,0,0,1,0.0,95,371,22.667,19,6,0,0,1,0,10,0,14,2,0,7,7,0,1.28,0.235,0,140.0,0.642,0.615,0.915,3
SK,55855,화이트,2.87,24,1,0,11,4,0,0,0.733,562,2165,134.667,111,17,2,9,4,3,44,1,137,6,0,51,43,0,1.15,0.221,12,150.0,0.668,0.656,0.98,0
SK,68043,김민,2.97,70,0,0,5,2,1,22,0.714,266,944,63.667,60,7,0,7,4,0,17,2,65,4,0,23,21,4,1.21,0.251,0,145.0,0.869,0.929,0.948,1
SK,54802,박기호,3.0,18,0,0,0,0,0,2,0.0,110,451,24.0,23,2,0,3,3,1,12,1,13,2,0,10,8,0,1.46,0.267,0,137.0,0.618,0.575,0.895,3
SK,50812,박시후,3.27,52,0,0,6,2,0,3,0.75,231,930,52.333,45,3,0,5,3,1,29,1,34,0,1,24,19,0,1.41,0.233,0,141.0,0.823,0.715,0.922,2
SK,51867,김건우,3.82,35,0,0,5,4,0,2,0.556,301,1241,66.0,53,14,0,2,2,2,49,1,68,4,0,31,28,0,1.55,0.22,0,145.0,0.737,0.69,0.948,2
SK,68856,최민준,3.97,40,0,0,2,2,0,1,0.5,287,1172,65.667,72,7,0,6,7,4,24,0,44,3,0,34,29,0,1.46,0.289,0,142.0,0.756,0.675,0.928,2
SK,52809,전영준,4.61,34,0,0,1,5,0,0,0.167,228,993,52.667,48,9,0,5,3,1,26,1,55,3,0,28,27,0,1.41,0.249,0,142.0,0.726,0.701,0.928,2
SK,68092,한두솔,4.95,44,0,0,2,0,1,3,1.0,169,649,36.333,46,5,0,1,2,2,19,1,27,1,0,22,20,1,1.79,0.317,0,144.0,0.773,0.675,0.941,2
SK,77829,김광현,5.0,28,0,0,10,10,0,0,0.5,636,2453,144.0,164,28,1,13,5,3,50,1,138,6,0,86,80,0,1.49,0.286,9,143.0,0.701,0.658,0.935,2
SK,62869,문승원,5.13,23,0,0,4,7,0,0,0.364,452,1783,105.333,109,23,3,16,6,4,38,0,61,4,0,61,60,0,1.4,0.273,5,144.0,0.66,0.6,0.941,2
SK,53898,송영진,5.83,21,0,0,2,5,0,0,0.286,288,1070,63.333,77,5,1,10,3,4,31,1,40,2,0,45,41,0,1.71,0.312,1,143.0,0.636,0.584,0.935,3
SK,54803,최현석,6.23,13,0,0,0,0,0,0,0.0,77,290,17.333,21,2,0,5,0,0,6,0,11,1,0,13,12,0,1.56,0.304,0,144.0,0.576,0.562,0.941,3
SK,61895,서진용,6.75,2,0,0,0,0,0,0,0.0,7,27,1.333,1,0,0,0,0,0,3,0,0,0,0,1,1,0,3.0,0.25,0,137.0,0.512,0.508,0.895,3
SK,60841,박종훈,7.11,5,0,0,0,2,0,0,0.0,90,370,19.0,15,1,0,4,1,1,18,0,10,0,0,17,15,0,1.74,0.231,1,132.0,0.536,0.526,0.863,3
SK,66858,정동윤,8.31,12,0,0,0,0,0,0,0.0,82,317,17.333,21,6,0,2,1,1,12,0,17,1,0,16,16,0,1.9,0.309,0,143.0,0.577,0.565,0.935,3
NC,54944,데이비슨,0.0,1,0,0,0,0,0,0,0.0,1,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.5,0.517,,3
NC,65933,구창모,2.51,4,0,0,1,0,0,0,1.0,59,250,14.333,14,3,0,1,0,0,3,0,18,1,0,4,4,0,1.19,0.25,0,141.0,0.525,0.541,0.922,3
NC,68900,김영규,2.86,45,0,0,4,3,0,21,0.571,189,762,44.0,40,4,0,3,5,5,18,4,35,6,0,17,14,1,1.32,0.253,0,143.0,0.772,0.727,0.935,2
NC,65949,류진욱,3.27,62,0,0,4,3,29,0,0.571,275,1061,66.0,50,7,1,6,2,1,28,3,57,5,0,27,24,1,1.18,0.21,0,146.0,0.853,0.837,0.954,1
NC,67954,김진호,3.36,76,0,0,4,3,6,20,0.571,316,1303,72.333,53,12,1,5,2,1,45,1,70,9,1,30,27,5,1.35,0.205,0,145.0,0.977,0.909,0.948,1
NC,55903,라일리,3.45,30,0,0,17,7,0,0,0.708,709,2916,172.0,136,25,2,18,4,4,56,0,216,5,0,76,66,0,1.12,0.212,16,148.0,0.719,0.722,0.967,0
NC,52902,임지민,3.86,7,0,0,0,1,0,1,0.0,20,84,4.667,1,0,0,0,0,1,5,0,7,0,0,2,2,1,1.29,0.071,0,152.0,0.541,0.562,0.993,0
NC,69969,전사민,4.26,74,0,0,7,7,2,13,0.5,370,1341,82.333,86,12,2,3,8,3,33,4,62,7,0,45,39,4,1.45,0.273,0,147.0,0.931,0.837,0.961,1
